name,type,region,locality,geolocation
Gun fence,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Memorial plaque on the grave of her grandmother Maxim Gorky Akulina Ivanovna,Cemeteries and graveyards,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Commemorative stela of Victory,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.658541'), Decimal('43.043095'))"
Monument,"Monuments, sculptures, memorials",Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
"Monument ""Voronezh - VDV Homeland""","Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.237639'), Decimal('51.636449'))"
"Monument ""Sail""","Monuments, sculptures, memorials",Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Monument to the Fallen malgobekchanam during the Great Patriotic War,military glory,The Republic of Ingushetia,Malgobek,"(Decimal('44.590188'), Decimal('43.509645'))"
"Monument of the 1st Cavalry Army ""Tachanka-Rostovite""",military glory,Rostov region,Rostov-on-Don,"(Decimal('39.763136'), Decimal('47.250546'))"
Monument to the 1000 anniversary of Yaroslavl,"Monuments, sculptures, memorials",Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.871392'), Decimal('57.617295'))"
1200 Monument guards,military glory,Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
"Monument ""Anapa - the beginning of the Caucasus Mountains""","Monuments, sculptures, memorials",Krasnodar region,Anapa,"(Decimal('37.31617'), Decimal('44.894965'))"
"Monument ""Polar Bears""","Monuments, sculptures, memorials",Yamalo-Nenets Autonomous Okrug,Noyabrsk,"(Decimal('75.450938'), Decimal('63.201801'))"
"Monument ""White Goose""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.554255'), Decimal('52.05232'))"
"Monument ""Grateful Russia to the Heroes of 1812""","Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
"Monument ""Eternal Glory""","Monuments, sculptures, memorials",Stavropol region,Stavropol,"(Decimal('41.969101'), Decimal('45.04333'))"
"Monument ""Vladikavkaz policeman""","Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
"Monument ""Liberator Soldier""","Monuments, sculptures, memorials",Moscow region,Serpukhov,"(Decimal('37.416763'), Decimal('54.913536'))"
"Monument ""Vorkuta 67 parallel»","Monuments, sculptures, memorials",Komi Republic,Vorkuta,"(Decimal('64.061091'), Decimal('67.49741'))"
"Monument ""Voronezh soldiers-internationalists""","Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
"Monument ""Reunion""","Monuments, sculptures, memorials",Kursk region,freedom,"(Decimal('36.304738'), Decimal('51.973774'))"
"Monument ""Citizen""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Monument ""giving life""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('40.798345'), Decimal('46.7819'))"
"Monument ""children who died during the Great Patriotic War""","Monuments, sculptures, memorials",Novgorod region,Lychkovo,"(Decimal('32.405466'), Decimal('57.915867'))"
"Monument ""Dzhangar""","Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('45.756129'), Decimal('47.656266'))"
"Monument ""The unity of the front and rear""",military glory,Perm,Permian,"(Decimal('56.174673'), Decimal('57.997264'))"
"Monument ""sailor's wife '","Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
"Monument ""Foal""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
"The monument ""To the Victims of Norilsk""","Monuments, sculptures, memorials",Krasnoyarsk region,Norilsk,"(Decimal('88.210384'), Decimal('69.343985'))"
"The monument ""To the Victims of Political Repression""","Monuments, sculptures, memorials",Transbaikal region,Chita,"(Decimal('117.858184'), Decimal('50.050363'))"
"Monument ""Zhirnovskaya Alesha"" (Unknown Soldier)","Monuments, sculptures, memorials",Volgograd region,Zhirnovsk,"(Decimal('44.778834'), Decimal('50.978713'))"
"The monument ""Golden Horseman""","Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
"The monument ""Golden Sheaf""","Monuments, sculptures, memorials",Kemerovo region,Top-Chebula,"(Decimal('87.620236'), Decimal('56.034149'))"
"Monument ""Exodus""","Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
"The monument ""Oath of youth""","Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.914713'), Decimal('47.22064'))"
"Monument ""The Book""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Monument ""The Bell""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Monument ""firm handshake""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
"Monument ""Kursk Antonovka""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.837251'), Decimal('51.989966'))"
"Monument ""Kursk Nightingale""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.282442'), Decimal('51.749429'))"
"Monument ""Therapeutic chair №0001»","Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.212765'), Decimal('51.696902'))"
"Monument ""spoon taste""","Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
"The monument ""Mothers of War""",military glory,Leningrad region,podporozhye,"(Decimal('34.156813'), Decimal('60.912784'))"
"Monument ""Miner's Memorial of Glory""","Monuments, sculptures, memorials",Rostov region,mine,"(Decimal('40.205942'), Decimal('47.70518'))"
"Monument ""The baby in cabbage""","Monuments, sculptures, memorials",Tomsk region,Tomsk,"(Decimal('85.085477'), Decimal('56.517574'))"
"Monument ""We have won! From Baskunchak to Berlin ""","Monuments, sculptures, memorials",Astrakhan region,Axtuʙinsk,"(Decimal('46.164413'), Decimal('48.284884'))"
"Monument ""Novorossiysk republic""","Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
"Monument ""Waiting""","Monuments, sculptures, memorials",Tyva Republic,Mugur-Aksy,"(Decimal('90.43251'), Decimal('50.382517'))"
"Monument ""Seared flower""","Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
"The monument ""Eaglet""","Monuments, sculptures, memorials",The Republic of Khakassia,Abakan,"(Decimal('91.45049'), Decimal('53.721562'))"
"The monument ""In memory of the forgotten war that changed the course of history""",military glory,Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
"Monument ""pioneers of Kolyma and Chukotka""","Monuments, sculptures, memorials",Magadan Region,Magadan,"(Decimal('150.808586'), Decimal('59.565151'))"
"Monument ""port workers who died during the Great Patriotic War, the labor office""","Monuments, sculptures, memorials",Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
"Monument ""Proletartsam-heroes of glory!""","Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
"Monument ""The professor and the student""","Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
"Monument ""Farewell. Dedicated to the victims of political repressions ""","Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
"Monument ""The gun ZIS-3""",military glory,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
"Monument ""Balance""","Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
"Monument ""Rostovite""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Monument ""Russian bast""","Monuments, sculptures, memorials",Smolensk region,Vyazma,"(Decimal('34.298037'), Decimal('55.205944'))"
"Monument ""Rendezvous""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
"Monument ""Generations""","Monuments, sculptures, memorials",Khanty-Mansi Autonomous Area,Nyagan,"(Decimal('64.803216'), Decimal('60.128951'))"
"Monument ""Gray Ural""","Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
"The monument ""Family Ties""","Monuments, sculptures, memorials",Tomsk region,Tomsk,"(Decimal('84.947649'), Decimal('56.48464'))"
"The monument ""Family""","Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
"The monument ""Mother's Heart""","Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
"Pamyatnik ""Skorbyashtiy angel»",memorial complexes,Samara Region,Tolyatti,"(Decimal('49.41918'), Decimal('53.5088'))"
"Monument ""Glory""","Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.64371'), Decimal('53.019915'))"
"Monument ""The modern entrepreneur""","Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
"The monument ""Soldier Yamal""",military glory,Yamalo-Nenets Autonomous Okrug,purpe,"(Decimal('76.693631'), Decimal('64.476252'))"
"Monument ""Employees Murmansk militia, died in the Great Patriotic War and in peacetime""","Monuments, sculptures, memorials",Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
"Monument ""stability and prosperity""","Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
"Monument ""The Old Man Hopper""","Monuments, sculptures, memorials",Penza region,heaps,"(Decimal('44.522131'), Decimal('52.989185'))"
"Monument ""strike of 1902""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.69419'), Decimal('47.213326'))"
"Monument ""Builder""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.64383'), Decimal('47.250705'))"
"Monument ""Tank T-34""","Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.64371'), Decimal('53.019915'))"
"Monument ""torpedo boat""","Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.64371'), Decimal('53.019915'))"
"Monument ""Teacher and student""","Monuments, sculptures, memorials",Kemerovo region,Novokuznetsk,"(Decimal('87.183331'), Decimal('53.782496'))"
"Monument ""The photographer and the lady at the samovar""","Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
"The monument ""Tsar Carpenter""","Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
"Monument ""Black Tulip""",military glory,Khabarovsk region,Khabarovsk,"(Decimal('140.504164'), Decimal('50.22327'))"
"Monument ""reader""","Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
"Sightseeing ""Kurzer""","Monuments, sculptures, memorials",Sverdlovsk region,Aramil,"(Decimal('60.834342'), Decimal('56.694563'))"
"Monument ""The era of space""","Monuments, sculptures, memorials",Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
"Monument of the ""tail""","Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument of Yosano Akiko,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument to Alexander Suvorov,"Monuments, sculptures, memorials",Rostov region,Novocherkassk,"(Decimal('40.086727'), Decimal('47.482247'))"
Monument AD Kryachkova,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Monument AN Liberova,"Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
The monument to Chekhov,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
The monument to Chekhov,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument to Alexander S. Green,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
The monument to Pushkin in Volgograd,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.513238'), Decimal('48.705319'))"
Monument Tvardovsky and B. Terkina,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
AV monument Kolchak,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.263125'), Decimal('52.287654'))"
AV monument Koltsov,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.190711'), Decimal('51.653383'))"
AV monument Suvorov,"Monuments, sculptures, memorials",Krasnodar region,Krasnodar,"(Decimal('38.968459'), Decimal('45.01546'))"
AD monument Tsyurupa,"Monuments, sculptures, memorials",Republic of Bashkortostan,Ufa,"(Decimal('55.958727'), Decimal('54.735147'))"
Monument AE Kotomkin,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,"(Decimal('46.228122'), Decimal('56.183078'))"
AI monument Herzen,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
AP monument Platonov,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
monument AP Yermolov,"Monuments, sculptures, memorials",Stavropol region,Pyatigorsk,"(Decimal('43.07084'), Decimal('44.03929'))"
AS monument Popov,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
AS monument Pushkin,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
AS monument Pushkin,"Monuments, sculptures, memorials",Kemerovo region,Kemerovo,"(Decimal('86.088374'), Decimal('55.354727'))"
AS monument Pushkin,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
AS monument Pushkin,"Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
AS monument Pushkin,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Monument Auxentius Mordinovu,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.664885'), Decimal('62.031436'))"
Monument Aziz Aliyev,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Acxo Koliev,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.688886'), Decimal('43.016213'))"
Monument to Alexander I,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.914713'), Decimal('47.22064'))"
Monument to Alexander III,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument to Alexander III,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.277067'), Decimal('52.275373'))"
Monument to Alexander III,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Alexander Nevsky,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Monument to Alexander Pushkin,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.914713'), Decimal('47.22064'))"
Monument to Alexander Chekalin,military glory,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Pamjatnik Aleşe Peşkovu,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument of Ali Aliyev,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.541845'), Decimal('42.969175'))"
Monument Sultan Amet-Han,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Anatoly Bredov,military glory,Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
Anna Akhmatova monument,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Anna of Kashin Monument,"Monuments, sculptures, memorials",Tver region,Cashin,"(Decimal('37.61344'), Decimal('57.358381'))"
monument Arat,"Monuments, sculptures, memorials",Tyva Republic,red,"(Decimal('94.437757'), Decimal('51.719086'))"
Monument Arslan Mubaryakovu,"Monuments, sculptures, memorials",Republic of Bashkortostan,Ufa,"(Decimal('55.98679'), Decimal('54.707369'))"
Monument to Archangel Michael,"Monuments, sculptures, memorials",Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
Monument to Afanasy Nikitin,"Monuments, sculptures, memorials",Tver region,Tver,"(Decimal('35.911995'), Decimal('56.859847'))"
Athos Monument (plumbing),"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Monument BG Muzrukov,"Monuments, sculptures, memorials",Leningrad region,Lodeynoye Pole,"(Decimal('33.548869'), Decimal('60.734978'))"
Monument Babzhi Baras Bator,"Monuments, sculptures, memorials",Transbaikal region,Aginskoe,"(Decimal('114.537849'), Decimal('51.103662'))"
Monument to Barclay de Tolly,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument Belozersk Sudak,"Monuments, sculptures, memorials",Vologda Region,Shi's,"(Decimal('37.789016'), Decimal('60.030843'))"
Monument White Bimu Black ear,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument Bzhedukskogo Prince (adyghe post),"Monuments, sculptures, memorials",Krasnodar region,Hot key,"(Decimal('39.136426'), Decimal('44.634246'))"
monument benefactors,"Monuments, sculptures, memorials",Republic of Tatarstan,Kazan,"(Decimal('49.108795'), Decimal('55.796289'))"
Monument to Boris Pasternak,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Monument to the Fighters for Soviet Power,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885575'), Decimal('43.115194'))"
Monument to Lenin,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.252921'), Decimal('56.848119'))"
Monument to Lenin,"Monuments, sculptures, memorials",The Republic of Buryatia,Ulan-Ude,"(Decimal('107.724325'), Decimal('51.864301'))"
Monument to Lenin,"Monuments, sculptures, memorials",Sverdlovsk region,Nizhny Tagil,"(Decimal('59.969085'), Decimal('57.908069'))"
Monument to Lenin,"Monuments, sculptures, memorials",Rostov region,mine,"(Decimal('40.101675'), Decimal('47.698061'))"
Monument to Lenin in Veliky Novgorod,"Monuments, sculptures, memorials",Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Monument to Lenin in Rostov-on-Don,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument to Lenin at the Theater Square,"Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.643566'), Decimal('53.024075'))"
Monument to Lenin on Lenin Square,"Monuments, sculptures, memorials",Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Monument VM Shukshin,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('79.917847'), Decimal('52.160526'))"
Monument VNTatischev,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.2603'), Decimal('58.017144'))"
Monument VT Kurylenko,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.070466'), Decimal('54.765929'))"
VV monument Nikiforov-Kyulyumnyuru,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.732501'), Decimal('62.023545'))"
VI monument Lenin,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.908167'), Decimal('43.153174'))"
VI monument Lenin,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.733813'), Decimal('62.028592'))"
VI monument Lenin,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Peaceful,"(Decimal('113.978683'), Decimal('62.541003'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Bashkortostan,Ufa,"(Decimal('55.943213'), Decimal('54.718088'))"
VI monument Lenin,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.681965'), Decimal('58.590395'))"
VI monument Lenin,"Monuments, sculptures, memorials",Ulyanovsk region,Ulyanovsk,"(Decimal('48.386001'), Decimal('54.313015'))"
VI monument Lenin,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.826925'), Decimal('56.203623'))"
VI monument Lenin,"Monuments, sculptures, memorials",Kostroma region,Kostroma,"(Decimal('40.942992'), Decimal('57.787978'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Adygea,Maikop,"(Decimal('40.10322'), Decimal('44.611592'))"
VI monument Lenin,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.261638'), Decimal('46.307319'))"
VI monument Lenin,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.513238'), Decimal('48.705319'))"
VI monument Lenin square in the center of aesthetic education (TSEVD them. Beloglazova),"Monuments, sculptures, memorials",Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
VI monument Muravlenko,"Monuments, sculptures, memorials",Yamalo-Nenets Autonomous Okrug,Muravlenko,"(Decimal('74.519951'), Decimal('63.784387'))"
monument to Lenin,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.22364'), Decimal('58.008614'))"
monument to Lenin,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.280831'), Decimal('52.283809'))"
Monument VK Kokkinaki,"Monuments, sculptures, memorials",Krasnodar region,Novorossiysk,"(Decimal('37.341511'), Decimal('45.003748'))"
VM monument Shukshin on the Mount Picket,"Monuments, sculptures, memorials",Altai region,splices,"(Decimal('79.917847'), Decimal('52.160526'))"
VM monument I am. Vasnetsov,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
VP monument Chkalov,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,"(Decimal('83.112921'), Decimal('54.96623'))"
VS monument Wysocki,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.190711'), Decimal('51.653383'))"
VS monument Holzunova,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.513238'), Decimal('48.705319'))"
monument V.Ya.Eroshenko,"Monuments, sculptures, memorials",Belgorod region,Obukhovka,"(Decimal('37.978956'), Decimal('51.180424'))"
Monument to Valentina Leontieva,"Monuments, sculptures, memorials",Ulyanovsk region,Ulyanovsk,"(Decimal('48.403123'), Decimal('54.314192'))"
Monument Varlaam Shalamov,"Monuments, sculptures, memorials",Perm,Krasnovishersk,"(Decimal('57.083301'), Decimal('60.412821'))"
Monument Barnabas Vetluzhsky,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Barnabas,"(Decimal('45.087863'), Decimal('57.401874'))"
Monument to Vasily Zavoiko,"Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.673956'), Decimal('52.955639'))"
Monument to the Great Princess Olga,"Monuments, sculptures, memorials",Pskov region,Pskov,"(Decimal('28.331786'), Decimal('57.810021'))"
Monument Velimir Khlebnikov,"Monuments, sculptures, memorials",Republic of Kalmykia,Derbety,"(Decimal('44.67621'), Decimal('47.951388'))"
Monument to Victor Tsoi,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Monument Vyte Cherevychkynu,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
Monument to Vladimir Vernadsky,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument to Vladimir Vysotsky,"Monuments, sculptures, memorials",Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Monument to Vladimir Vysotsky,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Vladimir Lenin Monument,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to soldiers-countrymen,"Monuments, sculptures, memorials",Volgograd region,Zhirnovsk,"(Decimal('44.778834'), Decimal('50.978713'))"
Monument to the Liberator Soldier,military glory,Pskov region,Idrica,"(Decimal('28.887152'), Decimal('56.332072'))"
Monument Vjatskoj Print,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
GV monument Sviridov,"Monuments, sculptures, memorials",Kursk region,Kursk,"(Decimal('36.193186'), Decimal('51.73083'))"
Monument GY Bahchivandzhi,"Monuments, sculptures, memorials",Sverdlovsk region,Koltsovo,"(Decimal('59.850121'), Decimal('58.700192'))"
Monument Gabriel Chiryaevu,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Neryungri,"(Decimal('124.720315'), Decimal('56.659948'))"
monument Gavryusha,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Pamyatnik Gamzatu ble,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Garibaldi monument,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.941752'), Decimal('47.205876'))"
Monument to Heydar Aliyev,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Monument Gene Bukin,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Monument Hennadyyu Zavolokynu,"Monuments, sculptures, memorials",Novosibirsk region,new Sharap,"(Decimal('82.03214'), Decimal('54.409923'))"
